lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,22337.33494732481,34880.61011189477,0.2663433394186008
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,33522.5389738025,73018.24942994134,0.2513310322862029
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,29273.06031960227,46847.0914518977,0.31826273457988685
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,25762.842898029314,50888.70086328533,0.1891097526010489
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25934.2638671875,45175.433034063295,0.2623203528630383
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,32710.95071503835,66345.61841732508,0.3034558571867048
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146078.019666933,230992.4817720448,0.9673876773856284
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146132.11952151998,231192.55860532005,0.9668974632387624
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146073.15095865887,230992.0186082541,0.9670946793479385
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146134.5649692911,231194.17210094637,0.9669463022190182
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146079.79733871922,230993.56788744294,0.9674702242795346
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146132.24795980906,231192.65818805536,0.9668999651846819
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22734.279514086174,39642.541853764276,0.23918410376437377
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,27830.06044482837,50469.21093996922,0.32537623854986475
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30642.014772727274,52886.136308051755,0.3342779686587539
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,28485.067870500454,62842.388732660416,0.24838754483980502
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25600.638678977273,39992.73101567485,0.3103042452801084
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,45081.795951240696,83384.03817489606,0.5227043012648965
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,25329.091727035986,42738.58207179971,0.2330042106148766
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,36889.327045797574,74814.35597929587,0.2839129381791811
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,29641.235221946023,55794.33164002959,0.2654694612330425
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,26342.246888171136,49594.843238556365,0.20901115979534673
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24810.88647845644,41293.760861503804,0.2559082162018082
