data;estados;consumo;y_pred
2009-06-01;AM;58250,0;
2009-07-01;AM;61630,0;
2009-08-01;AM;61355,0;
2009-09-01;AM;63019,0;
2009-10-01;AM;83067,0;
2009-11-01;AM;63231,0;
2009-12-01;AM;66150,0;
2010-01-01;AM;61815,0;
2010-02-01;AM;49654,0;
2010-03-01;AM;72659,0;
2010-04-01;AM;64381,0;
2010-05-01;AM;63810,0;
2010-06-01;AM;63905,0;
2010-07-01;AM;64854,0;
2010-08-01;AM;62407,0;
2010-09-01;AM;70814,0;
2010-10-01;AM;70916,0;
2010-11-01;AM;71753,0;
2010-12-01;AM;79148,0;
2011-01-01;AM;71494,0;
2011-02-01;AM;64471,0;
2011-03-01;AM;72246,0;
2011-04-01;AM;70211,0;
2011-05-01;AM;78267,0;
2011-06-01;AM;77957,0;
2011-07-01;AM;69125,0;
2011-08-01;AM;91194,0;
2011-09-01;AM;86092,0;
2011-10-01;AM;98275,0;
2011-11-01;AM;81922,0;
2011-12-01;AM;86757,0;
2012-01-01;AM;81889,0;
2012-02-01;AM;78002,0;
2012-03-01;AM;81959,0;
2012-04-01;AM;61107,0;
2012-05-01;AM;97398,0;
2012-06-01;AM;70266,0;
2012-07-01;AM;97903,0;
2012-08-01;AM;84966,0;
2012-09-01;AM;95924,0;
2012-10-01;AM;87178,0;
2012-11-01;AM;79674,0;
2012-12-01;AM;78666,0;
2013-01-01;AM;77124,0;
2013-02-01;AM;62791,0;
2013-03-01;AM;109019,0;
2013-04-01;AM;77024,0;
2013-05-01;AM;76369,0;
2013-06-01;AM;115120,0;
2013-07-01;AM;97534,0;
2013-08-01;AM;75820,0;
2013-09-01;AM;63070,0;
2013-10-01;AM;116893,0;
2013-11-01;AM;101635,0;
2013-12-01;AM;64207,0;
2014-01-01;AM;63088,0;
2014-02-01;AM;80430,0;
2014-03-01;AM;81788,0;
2014-04-01;AM;72995,0;
2014-05-01;AM;46056,0;
2014-06-01;AM;96525,0;
2014-07-01;AM;58639,0;
2014-08-01;AM;96194,0;
2014-09-01;AM;59788,0;
2014-10-01;AM;94092,0;
2014-11-01;AM;53720,0;
2014-12-01;AM;57359,0;
2015-01-01;AM;52653,0;
2015-02-01;AM;99260,0;
2015-03-01;AM;42052,0;
2015-04-01;AM;97889,0;
2015-05-01;AM;56390,0;
2015-06-01;AM;56425,0;
2015-07-01;AM;53669,0;
2015-08-01;AM;76548,0;
2015-09-01;AM;59783,0;
2015-10-01;AM;80269,0;
2015-11-01;AM;60089,0;
2015-12-01;AM;68085,0;
2016-01-01;AM;63261,0;
2016-02-01;AM;35374,0;
2016-03-01;AM;38719,0;
2016-04-01;AM;66998,0;
2016-05-01;AM;52881,0;
2016-06-01;AM;50305,0;
2016-07-01;AM;48796,0;
2016-08-01;AM;52316,0;
2016-09-01;AM;51626,0;
